Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2023,FYTD,APR,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,2
2023,FYTD,APR,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,6
2023,FYTD,APR,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1
2023,FYTD,APR,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,4
2023,FYTD,APR,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,1
2023,FYTD,APR,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,159
2023,FYTD,APR,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,55
2023,FYTD,APR,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,36
2023,FYTD,APR,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,15
2023,FYTD,APR,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,176
2023,FYTD,APR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,136
2023,FYTD,APR,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,648
2023,FYTD,APR,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2421
2023,FYTD,APR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,8473
2023,FYTD,APR,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,7
2023,FYTD,APR,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,98
2023,FYTD,APR,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,28
2023,FYTD,APR,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,69
2023,FYTD,APR,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,17
2023,FYTD,APR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,410
2023,FYTD,APR,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1628
2023,FYTD,APR,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2978
2023,FYTD,APR,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,263
2023,FYTD,APR,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,10052
2023,FYTD,APR,Office of Field Operations,UAC,El Salvador,Title 8,Inadmissibles,5
2023,FYTD,APR,Office of Field Operations,UAC,Guatemala,Title 8,Inadmissibles,33
2023,FYTD,APR,Office of Field Operations,UAC,Honduras,Title 8,Inadmissibles,26
2023,FYTD,APR,Office of Field Operations,UAC,Mexico,Title 8,Inadmissibles,182
2023,FYTD,APR,Office of Field Operations,UAC,Other,Title 8,Inadmissibles,142
